name,country,city,univ_image,r1,s1,e1,r2,s2,e2,r3,s3,e3,r4,s4,e4,r5,s5,e5,sem1_temp_mean,sem1_rain_mean,sem1_period,sem2_temp_mean,sem2_rain_mean,sem2_period,domi,per_domi,travel_idx,title1,image1,title2,image2,title3,image3,trip_link,living_idx,crime_idx,language,inter_stu_ratio,bus,train,gvi_idx,sdg_idx,one_year,gpa,TOEFL,IELTS,etc,uniq,hashtag1,hashtag2,hashtag3,여행지1,여행지2
"California State University, Fullerton",United States,California,https://drive.google.com/uc?id=1ggcLMDAmitqjqvLell-yidaXBnrUL1QK,,,1,,,1,,,1,,,1,,,1,19.28,14.64,1-5,23.79,12.96,8-12,1,0,0.59,1. 게티 센터,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/cf/8d/93/the-getty-center.jpg?w=500&h=400&s=1,2.  알카트라즈,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7c/af/88/aerial-shot-of-alcatraz.jpg?w=500&h=400&s=1,3. USS 미드웨이 뮤지엄,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/18/10/41/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g28926-California-Vacations.html,3,3,English,,1,0,92,63.00,0,3.0,80,6.0,,,체육관이 잘 되어있어요,동아리가 활발하게 활동해요,원하는 과목을 수강하지 못할 확률이 높아요,요세미티,앤텔롭캐년
Arizona State University,United States,Tucson,https://drive.google.com/uc?id=1y-hJdNLG-_64Ui6mJJ7iDCz4YzdsUrjj,167,69.5,1,163,73.3,1,163,73.3,1,169,72.4,1,162,70.4,1,16.63,21.04,1-5,20.98,41.04,8-12,1,1,38.69,1. Musical Instrument Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/55/78/f9/mim-exterior.jpg?w=500&h=-1&s=1,2. 차펠 오브 더 홀리 크로스,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/73/dd/15/spectacular-setting.jpg?w=500&h=400&s=1,3. 앤텔로프 캐니언,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/7d/59/9d/photo4jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g28924-Arizona-Vacations.html,1,4,English,0.18,1,1,92,63.00,0,3.2,79,6.0,,,학교 부대시설이 좋아요,파티로 유명해요,엄청 인기과목이 아닌이상 수강신청이 우너하는대로 돼요,투손&툼스톤,세도나
University at Buffalo,United States,Buffalo,https://drive.google.com/uc?id=1PqWNyZVzyccDMuqKOTHEDu7L6LCesw7T,388,61.1,1,352,65.6,1,343,61,1,401-450,55,1,,,1,3.13,76.26,1-5,10.4,94.4,8-12,1,0,61.25,1. Frank Lloyd Wright's Martin House,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/5f/4e/46/wright-s-darwin-martin.jpg?w=500&h=-1&s=1,2. Buffalo & Erie County Naval and Military Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/9a/cf/4b/buffalo-erie-county-naval.jpg?w=500&h=-1&s=1,3. Canalside,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/87/58/3b/img-20160531-wa0038-largejpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g60974-Buffalo_New_York-Vacations.html,2,3,English,0.16,1,0,92,63.00,0,3.5,79,6.0,,,대중교통 배차간격이 길어요,눈이 굉장히 많이 와요,BWS에서 독일 장학금을 받을 수도 있어요,멕시코,캐나다
Uppsala University,Sweden,Uppsala,https://drive.google.com/uc?id=1GndzraIsolj_xLc5DOioEFW4I9Z8hRNQ,138,71.4,1,216,71,1,59,78.1,1,112,76.1,1,199,68.5,1,4.333333,32.83333,1-6,10,44.4,9-1,1,0,55.01,1. 바사 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2e/17/99/smtm.jpg?w=500&h=400&s=1,2. Southern Gothenburg Archipelago,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/5b/72/3e/saltholmen-depart-des.jpg?w=500&h=-1&s=1,3. Øresund Bridge - Öresund Bridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/09/4c/bc/photo0jpg.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g189806-Sweden-Vacations.html,3,2,English,0.17,1,0,81,95.00,0,2.8,88,6.5,,,독특한 고유 학생자치 단체가 존재해요,도시 전체에 학교 건물들이 분포되어 있어요,다양성 존중되는 도시분위기에요,키루나,
King’s College London,United Kingdom, London,https://drive.google.com/uc?id=1AdbbTxExjEUfDJqJ90Dkl343J5VG8fa0,27,83.6,1,118,75.3,1,118,75.3,1,127,75.2,1,42,78.8,1,9.916667,41.76667,1-6,10.575,54.5,9-12,1,0,62.47,1. 런던 타워,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c0/dc/f8/tower-of-london-white.jpg?w=500&h=-1&s=1&cx=2515&cy=1577&chk=v1_1e1764bee68456e4ca27,2. 타워 브리지,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/8d/60/eb/tower-bridge.jpg?w=500&h=400&s=1,3. 처칠 전쟁 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/6c/3c/ec/cabinet-war-room.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g186338-London_England-Vacations.html,4,4,English,0.492,1,1,86,81.00,0,3.8,,7.0,,A,수강신청이 이메일로 선착순 마감해요,교환학생 버디 프로그램이 없어요,동아리가 매우 발달되어있어요,브뤼허,
Venice International University,Italy,Venice,https://drive.google.com/uc?id=1-3oAbLalI72zszbwVBdw5EVZV3tFaBp8,,,1,,,0,,,0,,,0,,,1,14.4625,65.7,3-6,11.125,65.4,9-12,1,0,12.43,1. 두칼레 궁전,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/62/d4/a6/20160525-134703-largejpg.jpg?w=500&h=-1&s=1,2. 그랜드 캐널,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/53/7b/0f/photo0jpg.jpg?w=500&h=400&s=1,3. 산 마크코 대성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/e1/a4/32/saint-mark-s-basilica.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g187870-Venice_Veneto-Vacations.html,2,1,English,,0,0,94,74.00,0,2.8,79,6.0,,,정규학생이 없어요(모두 교환학생),설립기간이 짧다 보니 편의시설 및 동아리가 부족해요,호텔 건물을 기숙사로 사용해요,모로코,터키
Eberhard Karls Universitt Tuebingen,Germany,Tübingen,https://drive.google.com/uc?id=1N4C_ndtbr8YX7hS--wcW_2b_e4DvI2wK,76,75.6,1,,,1,,,1,244,68.9,1,357,63.1,1,14.5625,72.75,4-7,7.914286,8.6,10-2,1,0,31.83,1. Market Square (Marktplatz),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/9e/61/3a/market-square-marktplatz.jpg?w=500&h=400&s=1,2. Historische Altstadt Tübingen,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/58/2d/b9/altstadt-von-der-neckarbrucke.jpg?w=500&h=-1&s=1,3. Schloss Hohentuebingen,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/61/7f/90/vista-a-partir-do-castelo.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g198539-Tubingen_Baden_Wurttemberg-Vacations.html,2,3,"English, German",,1,1,78,86.00,0,3.0,88,6.5,독일어 B2,C,학기시작전 3주간 독일어를 배우고 행정처리를 도와주는 프로그램이 있어요,한국학과가 있어 한국어 능력자가 많아요,BWS에서 독일 장학금을 받을 수 있어요,오스트리아,
University of Birmingham,United Kingdom,Birmingham,https://drive.google.com/uc?id=1_0_PlVWdXJubgtnGXrU8Jib6gsyPTXKB,72,76.3,1,126,74.9,1,93,75.2,1,132,74.8,1,132,71.6,1,6.9,60.72,1-5,8.7125,76.325,9-12,1,1,16.23,1. Birmingham Back to Backs,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e6/3e/70/back-to-backs.jpg?w=500&h=-1&s=1,2. Birmingham Museum & Art Gallery,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/c3/54/38/museum.jpg?w=500&h=400&s=1,3. National Motorcycle Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/d9/a1/42/entrance-to-the-museum.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g186402-Birmingham_West_Midlands_England-Vacations.html,2,4,English,0.321,1,1,86,81.00,0,3.0,,6.0,,A,외국인 구성이 더 많은 한인회가 존재해요,Gym이 굉장히 잘 되어있어요,학생회에서 교환학생을 위한 프로그램을 많이 준비해줘요,바스,하이랜드
University of Melbourne,Australia,Melbourne,https://drive.google.com/uc?id=1LRFAcVF5sg3mK20vrfVpkY0jK5QPmqHb,16,86.2,1,1,84.1,1,17,85.5,1,38,82.2,1,15,85.5,1,16.43,44.76,2-6,13.76,52.7,7-11,1,1,17.02,1. Central park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/85/0c/6a/oval.jpg?w=500&h=-1&s=1,2. Gardiner's Creek Trail,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/45/26/a8/gardiners-creek-trail.jpg?w=500&h=400&s=1,3. Hedgeley Dene Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/19/4a/97/one-of-the-best-gardens.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g1009368-Malvern_Stonnington_Greater_Melbourne_Victoria-Vacations.html,3,3,English,0.495,1,1,71,66.00,0,3.5,79,6.5,,A,아시아인이 굉장히 많은 도시에요,교환학생 커뮤니티에 많이 가입해요,날씨 변덕이 심해요,질롱,그레이트 오션로드
University of Glasgow,United Kingdom,Glasgow,https://drive.google.com/uc?id=1AO0AooiFp8yNW6Ui0wCI70E2Zpx9Bkrr,66,76.7,1,156,73.5,1,51,79.3,1,118,75.8,1,97,73.4,1,7.5,81.26667,1-6,9.116667,115.8667,9-11,1,1,48.22,1. Kelvingrove Art Gallery and Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/a2/89/7a/kelvingrove-art-gallery.jpg?w=500&h=400&s=1,2. The Riverside Museum of Transport and Travel,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/4d/33/ae/img-20190419-111055-largejpg.jpg?w=500&h=-1&s=1,3. Glengoyne Distillery,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/98/1a/8f/glengoyne-distillery.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g186534-Glasgow_Scotland-Vacations.html,2,3,,0.397,1,1,86,81.00,,,,,,,학교의 메인빌딩의 별명이 호그와트일정도로 매우 웅장해요,"스코틀랜드, 잉글랜드 타도시들과의 교통편이 우수해요",18학점을 꽉 채워서 들을 수 있어요,하이랜드,스카이 섬
Chapman University,United States,Los Angeles,https://drive.google.com/uc?id=1t3KES7gCcUBUiYiO4leQ76vQymr6OrPW,,,1,,,1,,,1,,,1,,,1,16.26,53.42,1-5,19.54,21.9,8-12,,1,0.59,1. 게티 센터,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/cf/8d/93/the-getty-center.jpg?w=500&h=400&s=1,2.  알카트라즈,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7c/af/88/aerial-shot-of-alcatraz.jpg?w=500&h=400&s=1,3. USS 미드웨이 뮤지엄,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/18/10/41/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g28926-California-Vacations.html,3,1,English,0.07,1,0,92,63.00,0,3.4,79,,,,보드타는 사람이 많아요,교환학생도 동아리에 쉽게 가입할 수 있어요,치안이 정말 좋아요,,
University of Illinois at Urbana-Champaign,United States,Champaign,https://drive.google.com/uc?id=1zcw2zTKxBcLFWCoaLFL_fKE0oH9Lg-jS,122,72.6,1,31,84,1,31,84,1,42,81.9,1,105,72.9,1,6.38,71.18,1-5,12.2,76.3,8-12,1,0,28.5,1. 시카고 아트 인스티튜트,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/3f/3c/7c/photo0jpg.jpg?w=500&h=-1&s=1,2. 미시간 호,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/aa/a2/8a/photos-from-my-lake-cruise.jpg?w=500&h=-1&s=1,3. Blaum Bros. Distilling Co.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/01/3a/a7/blaum-bros-distilling.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g28934-Illinois-Vacations.html,3,4,English,0.23,1,1,92,63.00,0,3.5,80,6.0,,B,동아리시스템이 매우 잘 되어있어요,교환학생은 제일 마지막에 수강신청을 해요,대도시와는 거리가 멀어요,플로리다,
University of Connecticut,United States,Storrs,https://drive.google.com/uc?id=1S90nF9ZXgv7hRKZK1JrgrSSnS8cHO1ix,248,65.9,1,,,1,335,61.3,1,401-450,55,1,,,1,5.52,102.02,1-5,11.81,110.42,8-12,1,0,32.22,1. Jorgensen Center for the Performing Arts,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/fc/84/d9/jorgensen-center-for.jpg?w=1000&h=-1&s=1,2. Connecticut Repertory Theatre,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/fc/84/d9/jorgensen-center-for.jpg?w=1000&h=-1&s=1,3. William Benton Museum of Art,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f3/b7/db/one-of-many-large-scale.jpg?w=700&h=500&s=1,https://www.tripadvisor.co.kr/Tourism-g33940-Storrs_Mansfield_Mystic_Country_Connecticut-Vacations.html,4,2,English,0.12,1,1,92,63.00,0,3.5,79,6.5,,A,"K-pop 동아리, 한국 문화 동아리등 한국에 관심있는 학생들이 많아요","미국 대학 중 가장큰 스포츠 센터를 자랑해요(2019년 완공, 신식)",유콘 여자농구팀은 전국적으로 유명해요,토론토,필라델피아
The University of Sydney,Australia,Sydeny,https://drive.google.com/uc?id=1JAma60vKVqv-M6TSyyEzA7KvqfcV0HT3,22,84.5,1,45,82.1,1,19,85,1,49,80.9,1,26,82.1,1,17.8625,122.125,3-6,18.29,86,8-12,1,1,52.57,1. 시드니 오페라 하우스,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/3b/95/61/photo2jpg.jpg?w=500&h=-1&s=1,2. 시드니 하버 브리지,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/38/6c/09/20171001-141954-largejpg.jpg?w=500&h=400&s=1,3. 왕립 식물원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4d/b1/9d/photo4jpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g255060-Sydney_New_South_Wales-Vacations.html,4,2,English,0.47,1,1,71,66.00,1,3.4,85,6.5,,"A, B",교환학생 행사가 굉장히 많아요,다양한 인종들이 사는 만큼 대부분 서로를 존중해요,중심지에 위치해 여행하기 좋아요,위트선데이 섬,피지
University of Hawaii at Manoa,United States,Honolulu,https://drive.google.com/uc?id=1werL7bmY288OpOFl2QlOEVFCfROeJ1sS,157,70.2,1,,,1,,,1,262,67.8,1,,,1,23.84,38.44,1-5,26.2,44.5,8-12,1,1,64.68,1. 다이아몬드 헤드,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/8f/34/photo1jpg.jpg?w=1000&h=800&s=1,2. 진주만,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/0f/2c/ac/pearl-harbor.jpg?w=1000&h=-1&s=1,3. 이올라니 궁전,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/62/e4/18/iolani-palace.jpg?w=1000&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g29217-Island_of_Hawaii_Hawaii-Vacations.html,4,3,English,,1,0,92,63.00,0,3.5,79,6.0,,D,학생증만 있으면 체육시설을 무료로 사용가능해요,한국문화동아리가 있어요,캠퍼스 전체가 금연구역이에요,빅 아일랜드,마우이 섬
